2022-05-20 08:29:36 [INFO ] c.p.r.NativeLoader:64 - ********************************
2022-05-20 08:29:36 [INFO ] c.p.r.NativeLoader:65 - Native library search paths: 
2022-05-20 08:29:36 [INFO ] c.p.r.NativeLoader:948 - C:\Users\dell\AppData\Roaming\PVS-Studio-Java\7.18.59860
2022-05-20 08:29:36 [INFO ] c.p.r.NativeLoader:948 - .
2022-05-20 08:29:36 [INFO ] c.p.r.NativeLoader:948 - C:\Users\dell\AppData\Roaming\PVS-Studio-Java\7.18.59860\..
2022-05-20 08:29:36 [INFO ] c.p.r.NativeLoader:948 - C:\Users\dell\AppData\Roaming\PVS-Studio-Java\7.18.59860\..\..
2022-05-20 08:29:36 [INFO ] c.p.r.NativeLoader:948 - C:\Users\dell\AppData\Roaming\PVS-Studio-Java\7.18.59860\..\..\build
2022-05-20 08:29:36 [INFO ] c.p.r.NativeLoader:67 - Additional path: native/win
2022-05-20 08:29:36 [INFO ] c.p.r.NativeLoader:76 - Native library found: C:\Users\dell\AppData\Roaming\PVS-Studio-Java\7.18.59860\native\win\analysis-core.dll
2022-05-20 08:29:36 [INFO ] c.p.r.NativeLoader:77 - ********************************
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:49 - Module: Topology_API
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:50 - Sources:
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:52 - Classpath:
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.jsobject
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.jdwp.agent
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.jcmd
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.desktop
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.crypto.ec
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.jartool
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.security.jgss
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.javadoc
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.scripting.nashorn
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.accessibility
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.xml.dom
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.smartcardio
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.naming.rmi
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.management.rmi
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.jstatd
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.jconsole
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.naming
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.xml
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.datatransfer
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.dynalink
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.compiler
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.instrument
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.security.jgss
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.internal.jvmstat
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.rmi
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.management.agent
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.jfr
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.management.jfr
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.internal.ed
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.pack
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/java.transaction.xa
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.editpad
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.internal.vm.compiler.management
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.jdeps
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.rmic
2022-05-20 08:29:38 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-12.0.2!/jdk.sctp
